company_name,job_position,company_certified,location_certified,user_feedback_score,scam_reports,is_fake,job_description,company_website
Amazon,Business Analyst,1,0,1.99,49,1,"**Position:** Business Analyst
**Company:** Amazon

**Job Description:**
We are seeking a Business Analyst to join our team at Amazon. This role involves performing tasks and responsibilities typical for this position.

Amazon is a certified company. The job location is not certified. The position has a user feedback score of 1.99, and 49 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.amazon.com
PayPal,Product Manager,1,0,1.21,7,0,"**Position:** Product Manager
**Company:** PayPal

**Job Description:**
We are seeking a Product Manager to join our team at PayPal. This role involves performing tasks and responsibilities typical for this position.

PayPal is a certified company. The job location is not certified. The position has a user feedback score of 1.21, and 7 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
LG,Network Engineer,0,1,2.11,50,1,"**Position:** Network Engineer
**Company:** LG

**Job Description:**
We are seeking a Network Engineer to join our team at LG. This role involves performing tasks and responsibilities typical for this position.

LG is not a certified company. The job location is certified. The position has a user feedback score of 2.11, and 50 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Huawei,Customer Service,1,1,2.14,39,1,"**Position:** Customer Service
**Company:** Huawei

**Job Description:**
We are seeking a Customer Service to join our team at Huawei. This role involves performing tasks and responsibilities typical for this position.

Huawei is a certified company. The job location is certified. The position has a user feedback score of 2.14, and 39 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Uber,Software Engineer,0,1,3.85,37,1,"**Position:** Software Engineer
**Company:** Uber

**Job Description:**
We are seeking a Software Engineer to join our team at Uber. This role involves performing tasks and responsibilities typical for this position.

Uber is not a certified company. The job location is certified. The position has a user feedback score of 3.85, and 37 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.uber.com
Intel,Business Analyst,1,1,1.1,6,0,"**Position:** Business Analyst
**Company:** Intel

**Job Description:**
We are seeking a Business Analyst to join our team at Intel. This role involves performing tasks and responsibilities typical for this position.

Intel is a certified company. The job location is certified. The position has a user feedback score of 1.10, and 6 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.intel.com
Cognizant,HR Specialist,0,0,3.23,22,1,"**Position:** HR Specialist
**Company:** Cognizant

**Job Description:**
We are seeking a HR Specialist to join our team at Cognizant. This role involves performing tasks and responsibilities typical for this position.

Cognizant is not a certified company. The job location is not certified. The position has a user feedback score of 3.23, and 22 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
HP,Graphic Designer,1,0,4.36,25,1,"**Position:** Graphic Designer
**Company:** HP

**Job Description:**
We are seeking a Graphic Designer to join our team at HP. This role involves performing tasks and responsibilities typical for this position.

HP is a certified company. The job location is not certified. The position has a user feedback score of 4.36, and 25 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
eBay,HR Specialist,0,1,3.65,43,1,"**Position:** HR Specialist
**Company:** eBay

**Job Description:**
We are seeking a HR Specialist to join our team at eBay. This role involves performing tasks and responsibilities typical for this position.

eBay is not a certified company. The job location is certified. The position has a user feedback score of 3.65, and 43 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Schneider Electric,Finance Analyst,0,1,2.99,38,1,"**Position:** Finance Analyst
**Company:** Schneider Electric

**Job Description:**
We are seeking a Finance Analyst to join our team at Schneider Electric. This role involves performing tasks and responsibilities typical for this position.

Schneider Electric is not a certified company. The job location is certified. The position has a user feedback score of 2.99, and 38 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
HP,DevOps Engineer,1,0,1.38,6,0,"**Position:** DevOps Engineer
**Company:** HP

**Job Description:**
We are seeking a DevOps Engineer to join our team at HP. This role involves performing tasks and responsibilities typical for this position.

HP is a certified company. The job location is not certified. The position has a user feedback score of 1.38, and 6 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Fujitsu,Finance Analyst,0,1,1.83,39,1,"**Position:** Finance Analyst
**Company:** Fujitsu

**Job Description:**
We are seeking a Finance Analyst to join our team at Fujitsu. This role involves performing tasks and responsibilities typical for this position.

Fujitsu is not a certified company. The job location is certified. The position has a user feedback score of 1.83, and 39 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Nokia,AI Engineer,0,1,3.48,19,0,"**Position:** AI Engineer
**Company:** Nokia

**Job Description:**
We are seeking a AI Engineer to join our team at Nokia. This role involves performing tasks and responsibilities typical for this position.

Nokia is not a certified company. The job location is certified. The position has a user feedback score of 3.48, and 19 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Accenture,Cybersecurity Analyst,1,1,3.65,12,0,"**Position:** Cybersecurity Analyst
**Company:** Accenture

**Job Description:**
We are seeking a Cybersecurity Analyst to join our team at Accenture. This role involves performing tasks and responsibilities typical for this position.

Accenture is a certified company. The job location is certified. The position has a user feedback score of 3.65, and 12 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Lenovo,HR Specialist,0,0,2.06,40,1,"**Position:** HR Specialist
**Company:** Lenovo

**Job Description:**
We are seeking a HR Specialist to join our team at Lenovo. This role involves performing tasks and responsibilities typical for this position.

Lenovo is not a certified company. The job location is not certified. The position has a user feedback score of 2.06, and 40 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Adobe,HR Specialist,1,0,3.2,4,0,"**Position:** HR Specialist
**Company:** Adobe

**Job Description:**
We are seeking a HR Specialist to join our team at Adobe. This role involves performing tasks and responsibilities typical for this position.

Adobe is a certified company. The job location is not certified. The position has a user feedback score of 3.20, and 4 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.adobe.com
Hitachi,Technical Writer,0,0,4.68,14,1,"**Position:** Technical Writer
**Company:** Hitachi

**Job Description:**
We are seeking a Technical Writer to join our team at Hitachi. This role involves performing tasks and responsibilities typical for this position.

Hitachi is not a certified company. The job location is not certified. The position has a user feedback score of 4.68, and 14 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Twitter,Sales Representative,1,1,2.4,27,1,"**Position:** Sales Representative
**Company:** Twitter

**Job Description:**
We are seeking a Sales Representative to join our team at Twitter. This role involves performing tasks and responsibilities typical for this position.

Twitter is a certified company. The job location is certified. The position has a user feedback score of 2.40, and 27 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://twitter.com
Microsoft,DevOps Engineer,0,1,4.48,14,0,"**Position:** DevOps Engineer
**Company:** Microsoft

**Job Description:**
We are seeking a DevOps Engineer to join our team at Microsoft. This role involves performing tasks and responsibilities typical for this position.

Microsoft is not a certified company. The job location is certified. The position has a user feedback score of 4.48, and 14 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.microsoft.com
General Electric,Graphic Designer,1,1,1.29,41,1,"**Position:** Graphic Designer
**Company:** General Electric

**Job Description:**
We are seeking a Graphic Designer to join our team at General Electric. This role involves performing tasks and responsibilities typical for this position.

General Electric is a certified company. The job location is certified. The position has a user feedback score of 1.29, and 41 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.ge.com
Huawei,Finance Analyst,0,1,3.45,29,1,"**Position:** Finance Analyst
**Company:** Huawei

**Job Description:**
We are seeking a Finance Analyst to join our team at Huawei. This role involves performing tasks and responsibilities typical for this position.

Huawei is not a certified company. The job location is certified. The position has a user feedback score of 3.45, and 29 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Alibaba,Sales Representative,0,0,1.55,45,1,"**Position:** Sales Representative
**Company:** Alibaba

**Job Description:**
We are seeking a Sales Representative to join our team at Alibaba. This role involves performing tasks and responsibilities typical for this position.

Alibaba is not a certified company. The job location is not certified. The position has a user feedback score of 1.55, and 45 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Lenovo,Business Analyst,0,0,1.85,44,1,"**Position:** Business Analyst
**Company:** Lenovo

**Job Description:**
We are seeking a Business Analyst to join our team at Lenovo. This role involves performing tasks and responsibilities typical for this position.

Lenovo is not a certified company. The job location is not certified. The position has a user feedback score of 1.85, and 44 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Apple,Legal Consultant,1,1,2.33,25,1,"**Position:** Legal Consultant
**Company:** Apple

**Job Description:**
We are seeking a Legal Consultant to join our team at Apple. This role involves performing tasks and responsibilities typical for this position.

Apple is a certified company. The job location is certified. The position has a user feedback score of 2.33, and 25 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.apple.com
Nvidia,Legal Consultant,0,1,4.36,48,1,"**Position:** Legal Consultant
**Company:** Nvidia

**Job Description:**
We are seeking a Legal Consultant to join our team at Nvidia. This role involves performing tasks and responsibilities typical for this position.

Nvidia is not a certified company. The job location is certified. The position has a user feedback score of 4.36, and 48 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Amazon,Marketing Manager,0,1,4.85,23,1,"**Position:** Marketing Manager
**Company:** Amazon

**Job Description:**
We are seeking a Marketing Manager to join our team at Amazon. This role involves performing tasks and responsibilities typical for this position.

Amazon is not a certified company. The job location is certified. The position has a user feedback score of 4.85, and 23 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.amazon.com
Philips,Graphic Designer,0,0,2.99,39,1,"**Position:** Graphic Designer
**Company:** Philips

**Job Description:**
We are seeking a Graphic Designer to join our team at Philips. This role involves performing tasks and responsibilities typical for this position.

Philips is not a certified company. The job location is not certified. The position has a user feedback score of 2.99, and 39 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
IBM,Product Manager,1,1,1.38,29,1,"**Position:** Product Manager
**Company:** IBM

**Job Description:**
We are seeking a Product Manager to join our team at IBM. This role involves performing tasks and responsibilities typical for this position.

IBM is a certified company. The job location is certified. The position has a user feedback score of 1.38, and 29 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.ibm.com
Nvidia,Software Engineer,0,0,2.9,41,1,"**Position:** Software Engineer
**Company:** Nvidia

**Job Description:**
We are seeking a Software Engineer to join our team at Nvidia. This role involves performing tasks and responsibilities typical for this position.

Nvidia is not a certified company. The job location is not certified. The position has a user feedback score of 2.90, and 41 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
eBay,Product Manager,1,0,3.39,32,1,"**Position:** Product Manager
**Company:** eBay

**Job Description:**
We are seeking a Product Manager to join our team at eBay. This role involves performing tasks and responsibilities typical for this position.

eBay is a certified company. The job location is not certified. The position has a user feedback score of 3.39, and 32 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Facebook,Sales Representative,1,1,2.38,29,1,"**Position:** Sales Representative
**Company:** Facebook

**Job Description:**
We are seeking a Sales Representative to join our team at Facebook. This role involves performing tasks and responsibilities typical for this position.

Facebook is a certified company. The job location is certified. The position has a user feedback score of 2.38, and 29 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.facebook.com
eBay,Sales Representative,0,1,3.08,19,0,"**Position:** Sales Representative
**Company:** eBay

**Job Description:**
We are seeking a Sales Representative to join our team at eBay. This role involves performing tasks and responsibilities typical for this position.

eBay is not a certified company. The job location is certified. The position has a user feedback score of 3.08, and 19 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Tesla,Product Manager,1,1,3.94,3,0,"**Position:** Product Manager
**Company:** Tesla

**Job Description:**
We are seeking a Product Manager to join our team at Tesla. This role involves performing tasks and responsibilities typical for this position.

Tesla is a certified company. The job location is certified. The position has a user feedback score of 3.94, and 3 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.tesla.com
LG,AI Engineer,1,1,3.44,46,1,"**Position:** AI Engineer
**Company:** LG

**Job Description:**
We are seeking a AI Engineer to join our team at LG. This role involves performing tasks and responsibilities typical for this position.

LG is a certified company. The job location is certified. The position has a user feedback score of 3.44, and 46 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Nokia,Graphic Designer,0,1,2.03,35,1,"**Position:** Graphic Designer
**Company:** Nokia

**Job Description:**
We are seeking a Graphic Designer to join our team at Nokia. This role involves performing tasks and responsibilities typical for this position.

Nokia is not a certified company. The job location is certified. The position has a user feedback score of 2.03, and 35 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Fujitsu,HR Specialist,1,0,2.35,14,0,"**Position:** HR Specialist
**Company:** Fujitsu

**Job Description:**
We are seeking a HR Specialist to join our team at Fujitsu. This role involves performing tasks and responsibilities typical for this position.

Fujitsu is a certified company. The job location is not certified. The position has a user feedback score of 2.35, and 14 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Hitachi,Operations Manager,1,0,4.21,1,0,"**Position:** Operations Manager
**Company:** Hitachi

**Job Description:**
We are seeking a Operations Manager to join our team at Hitachi. This role involves performing tasks and responsibilities typical for this position.

Hitachi is a certified company. The job location is not certified. The position has a user feedback score of 4.21, and 1 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Uber,Product Manager,1,1,2.87,29,1,"**Position:** Product Manager
**Company:** Uber

**Job Description:**
We are seeking a Product Manager to join our team at Uber. This role involves performing tasks and responsibilities typical for this position.

Uber is a certified company. The job location is certified. The position has a user feedback score of 2.87, and 29 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.uber.com
Nokia,DevOps Engineer,0,0,1.19,43,1,"**Position:** DevOps Engineer
**Company:** Nokia

**Job Description:**
We are seeking a DevOps Engineer to join our team at Nokia. This role involves performing tasks and responsibilities typical for this position.

Nokia is not a certified company. The job location is not certified. The position has a user feedback score of 1.19, and 43 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Airbnb,Software Engineer,1,0,4.44,4,0,"**Position:** Software Engineer
**Company:** Airbnb

**Job Description:**
We are seeking a Software Engineer to join our team at Airbnb. This role involves performing tasks and responsibilities typical for this position.

Airbnb is a certified company. The job location is not certified. The position has a user feedback score of 4.44, and 4 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.airbnb.com
Philips,Software Engineer,0,1,2.15,10,0,"**Position:** Software Engineer
**Company:** Philips

**Job Description:**
We are seeking a Software Engineer to join our team at Philips. This role involves performing tasks and responsibilities typical for this position.

Philips is not a certified company. The job location is certified. The position has a user feedback score of 2.15, and 10 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Airbnb,Data Scientist,0,0,3.07,25,1,"**Position:** Data Scientist
**Company:** Airbnb

**Job Description:**
We are seeking a Data Scientist to join our team at Airbnb. This role involves performing tasks and responsibilities typical for this position.

Airbnb is not a certified company. The job location is not certified. The position has a user feedback score of 3.07, and 25 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.airbnb.com
Intel,Marketing Manager,1,0,2.64,41,1,"**Position:** Marketing Manager
**Company:** Intel

**Job Description:**
We are seeking a Marketing Manager to join our team at Intel. This role involves performing tasks and responsibilities typical for this position.

Intel is a certified company. The job location is not certified. The position has a user feedback score of 2.64, and 41 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.intel.com
Sony,Software Engineer,0,1,2.26,6,0,"**Position:** Software Engineer
**Company:** Sony

**Job Description:**
We are seeking a Software Engineer to join our team at Sony. This role involves performing tasks and responsibilities typical for this position.

Sony is not a certified company. The job location is certified. The position has a user feedback score of 2.26, and 6 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
LG,Customer Service,1,0,4.68,16,0,"**Position:** Customer Service
**Company:** LG

**Job Description:**
We are seeking a Customer Service to join our team at LG. This role involves performing tasks and responsibilities typical for this position.

LG is a certified company. The job location is not certified. The position has a user feedback score of 4.68, and 16 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Ericsson,Operations Manager,1,1,4.16,13,0,"**Position:** Operations Manager
**Company:** Ericsson

**Job Description:**
We are seeking a Operations Manager to join our team at Ericsson. This role involves performing tasks and responsibilities typical for this position.

Ericsson is a certified company. The job location is certified. The position has a user feedback score of 4.16, and 13 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
TikTok,Technical Writer,0,1,2.14,17,0,"**Position:** Technical Writer
**Company:** TikTok

**Job Description:**
We are seeking a Technical Writer to join our team at TikTok. This role involves performing tasks and responsibilities typical for this position.

TikTok is not a certified company. The job location is certified. The position has a user feedback score of 2.14, and 17 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
General Electric,Product Manager,1,1,1.98,34,1,"**Position:** Product Manager
**Company:** General Electric

**Job Description:**
We are seeking a Product Manager to join our team at General Electric. This role involves performing tasks and responsibilities typical for this position.

General Electric is a certified company. The job location is certified. The position has a user feedback score of 1.98, and 34 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.ge.com
Nvidia,Business Analyst,1,0,4.16,8,0,"**Position:** Business Analyst
**Company:** Nvidia

**Job Description:**
We are seeking a Business Analyst to join our team at Nvidia. This role involves performing tasks and responsibilities typical for this position.

Nvidia is a certified company. The job location is not certified. The position has a user feedback score of 4.16, and 8 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
Apple,Customer Service,0,1,4.37,49,1,"**Position:** Customer Service
**Company:** Apple

**Job Description:**
We are seeking a Customer Service to join our team at Apple. This role involves performing tasks and responsibilities typical for this position.

Apple is not a certified company. The job location is certified. The position has a user feedback score of 4.37, and 49 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",https://www.apple.com
Nvidia,Business Analyst,1,1,1.92,29,1,"**Position:** Business Analyst
**Company:** Nvidia

**Job Description:**
We are seeking a Business Analyst to join our team at Nvidia. This role involves performing tasks and responsibilities typical for this position.

Nvidia is a certified company. The job location is certified. The position has a user feedback score of 1.92, and 29 scam report(s) have been associated with it. Applicants are advised to proceed with caution if any red flags arise.",Not available
